imdb_id,imdb_rating,imdb_votes,R
tt6620324,6.0,1287,5.669923422233959
tt5997666,5.3,17317,5.325230862390876
tt6117702,3.4,2396,4.472303921568627
tt5785170,7.2,15738,6.966970062506854
tt6272828,5.6,3109,5.555428775182742
tt6173826,5.4,1279,5.466155067478169
tt6967980,7.5,14907,7.212759234790601
tt6711660,6.9,1508,6.026746506986028
tt4910010,8.2,28,5.52990506329114
tt5617172,5.7,257,5.518643453028654
tt6971752,6.9,6815,6.524261943102523
tt6080746,8.3,341,5.836078845476945
tt6926486,6.3,1369,5.783070560868441
tt6405126,5.3,2681,5.396506465933218
tt5697870,6.2,2294,5.834960367125574
tt5613834,6.3,4400,6.010144927536231
tt4977530,6.7,5993,6.346767926527729
tt3209826,3.9,276,5.340922190201729
tt6484982,7.7,13697,7.360430944001975
tt7340684,6.2,40,5.511023622047245
tt6265988,5.3,1519,5.424409056979348
tt6512784,4.2,976,5.134982738780207
tt5463608,6.5,13,5.50517309988062
tt2361746,6.4,3144,6.001346562721475
tt6352548,5.5,1272,5.5
tt5690142,7.3,7355,6.84337899543379
tt5745450,5.7,1781,5.583204858677879
tt7154994,7.4,69,5.551031529778124
tt7341406,6.4,383,5.619562955254943
tt6108090,7.9,17698,7.602940885236163
tt7471004,6.8,1655,6.017809867629362
tt6997642,6.9,444,5.7111413043478265
tt7469726,7.6,10334,7.190930341280972
tt3338188,4.6,140,5.452272727272728
tt7399470,7.0,4707,6.4796725405855415
tt5784860,3.7,363,5.271777855396437
tt7571718,8.0,45,5.544204322200393
tt6791730,7.0,4027,6.425463459476022
tt5743888,2.5,250,5.2272727272727275
tt6143422,8.0,565,5.960848287112562
tt7549484,4.5,913,5.232493407559333
tt6712014,6.5,4105,6.121498864496594
tt2198235,6.5,801,5.7426537412905185
tt6471054,7.0,602,5.79110251450677
tt4600778,6.5,564,5.684073107049609
tt4659548,6.8,230,5.609523809523809
tt4844708,7.4,18,5.513582208101668
tt4387040,8.0,49498,7.879803069348822
tt7722484,3.9,28,5.482278481012659
tt5310090,7.6,10507,7.196371184746674
tt5290620,1.9,3899,3.306469760900141
tt3726012,2.3,2343,3.951868676440223
tt7585620,7.0,77,5.544819557625146
tt3453964,6.2,126,5.533587204874334
tt4683366,6.4,4707,6.087803524351324
tt4399594,5.4,3991,5.438514866738561
tt4262516,3.1,2622,4.2714174150722375
tt4340180,4.0,62,5.4637002341920375
tt4979160,3.8,89,5.44156044804944
tt5209420,4.4,511,5.313317834606442
tt5286444,7.7,19046,7.444732200872552
tt5121000,7.8,4873,7.020127492201275
tt5216810,6.0,233,5.542627149652397
tt5130348,5.8,91,5.510536472404477
tt5313980,4.3,771,5.217150718434729
tt4979082,5.6,2308,5.548003327787022
tt4900716,7.7,20586,7.461760374252794
tt3410408,6.8,6582,6.442149306320194
tt5518128,4.3,744,5.22478421701603
tt3495026,7.1,39877,7.005609174788209
tt5005684,8.4,4530,7.368705547652915
tt5600714,8.0,3741,6.9985579234097095
tt4864932,5.2,6088,5.287331159757802
tt3590416,5.6,163,5.5061209162598574
tt4505006,6.1,40,5.509448818897638
tt2009592,5.7,186,5.513849590469099
tt2909396,2.9,193,5.313665057556628
tt2939912,6.7,2317,6.077205729707287
